author	year	paper_id	bee_id	bee_genus	bee_species	top5position	controlled_for_contamination	genus	average_relative_abundance
Cohen	2020	1	1	Osmia	lignaria	Genus_232	Yes	Jatrophihabitans	0.0001247791
Cohen	2020	1	1	Osmia	lignaria	Genus_233	Yes	Rhodocyclaceae_unclassified	0.0001229755
Cohen	2020	1	1	Osmia	lignaria	Genus_234	Yes	Rubritepida	0.0001220828
Cohen	2020	1	1	Osmia	lignaria	Genus_235	Yes	KF-JG30-B3_unclassified	0.0001212331
Cohen	2020	1	1	Osmia	lignaria	Genus_236	Yes	Candidatus Alysiosphaera	0.0001196104
Cohen	2020	1	1	Osmia	lignaria	Genus_237	Yes	Fluviicola	0.0001194724
Cohen	2020	1	1	Osmia	lignaria	Genus_238	Yes	Methylorosula	0.0001194724
Cohen	2020	1	1	Osmia	lignaria	Genus_239	Yes	Dechloromonas	0.0001194663
Cohen	2020	1	1	Osmia	lignaria	Genus_240	Yes	Pseudoxanthomonas	0.0001194663
Cohen	2020	1	1	Osmia	lignaria	Genus_241	Yes	Sphingobacterium	0.0001177117
Cohen	2020	1	1	Osmia	lignaria	Genus_242	Yes	Cnuella	0.0001159755
Cohen	2020	1	1	Osmia	lignaria	Genus_243	Yes	Hydrogenophaga	0.0001159540
Cohen	2020	1	1	Osmia	lignaria	Genus_244	Yes	Luedemannella	0.0001141994
Cohen	2020	1	1	Osmia	lignaria	Genus_245	Yes	Abiotrophia	0.0001140307
Cohen	2020	1	1	Osmia	lignaria	Genus_246	Yes	Solimonadaceae_unclassified	0.0001124724
Cohen	2020	1	1	Osmia	lignaria	Genus_247	Yes	Ellin60	0.0001124693
Cohen	2020	1	1	Osmia	lignaria	Genus_248	Yes	Clostridium sensu stricto 1	0.0001124417
Cohen	2020	1	1	Osmia	lignaria	Genus_249	Yes	Cytophaga	0.0001109816
Cohen	2020	1	1	Osmia	lignaria	Genus_250	Yes	Bosea	0.0001106840
Cohen	2020	1	1	Osmia	lignaria	Genus_251	Yes	Proteiniclasticum	0.0001106840
Cohen	2020	1	1	Osmia	lignaria	Genus_252	Yes	Gemmatirosa	0.0001106810
Cohen	2020	1	1	Osmia	lignaria	Genus_253	Yes	Glutamicibacter	0.0001094540
Cohen	2020	1	1	Osmia	lignaria	Genus_254	Yes	Angustibacter	0.0001071718
Cohen	2020	1	1	Osmia	lignaria	Genus_255	Yes	Crossiella	0.0001037423
Cohen	2020	1	1	Osmia	lignaria	Genus_256	Yes	Caulobacter	0.0001036564
Cohen	2020	1	1	Osmia	lignaria	Genus_257	Yes	AKYH767_unclassified	0.0001036534
Cohen	2020	1	1	Osmia	lignaria	Genus_258	Yes	Nannocystis	0.0000978436
Cohen	2020	1	1	Osmia	lignaria	Genus_259	Yes	Endobacter	0.0000974816
Cohen	2020	1	1	Osmia	lignaria	Genus_260	Yes	Rothia	0.0000972761
Cohen	2020	1	1	Osmia	lignaria	Genus_261	Yes	Polymorphobacter	0.0000966258
Cohen	2020	1	1	Osmia	lignaria	Genus_262	Yes	Haemophilus	0.0000925706
Cohen	2020	1	1	Osmia	lignaria	Genus_263	Yes	Aneurinibacillus	0.0000914632
Cohen	2020	1	1	Osmia	lignaria	Genus_264	Yes	Aurb.Bin063-1	0.0000913558
Cohen	2020	1	1	Osmia	lignaria	Genus_265	Yes	Porphyrobacter	0.0000902147
Cohen	2020	1	1	Osmia	lignaria	Genus_266	Yes	Planifilum	0.0000881687
Cohen	2020	1	1	Osmia	lignaria	Genus_267	Yes	SWB02	0.0000878405
Cohen	2020	1	1	Osmia	lignaria	Genus_268	Yes	Photorhabdus	0.0000829018
Cohen	2020	1	1	Osmia	lignaria	Genus_269	Yes	Fusobacterium	0.0000811104
Cohen	2020	1	1	Osmia	lignaria	Genus_270	Yes	Geminicoccaceae_unclassified	0.0000808160
Cohen	2020	1	1	Osmia	lignaria	Genus_271	Yes	Sphingopyxis	0.0000808067
Cohen	2020	1	1	Osmia	lignaria	Genus_272	Yes	Leuconostoc	0.0000797178
